24	77	64	96	87	89	58	50	64	55	44	33	27	76	1	5	17	21	1	57
80	88	73	26	51	89	14	53	2	95	14	21	71	14	54	9	58	12	22	35
94	54	89	72	62	52	8	82	3	99	87	72	67	23	71	83	41	94	49	64
6	32	34	88	27	20	59	88	23	35	94	14	6	97	4	17	57	19	47	73
2	15	92	51	62	92	57	31	7	57	47	10	66	97	61	75	36	77	10	53
47	69	74	99	26	64	71	8	21	47	38	80	86	26	73	79	39	64	40	21
70	2	93	64	3	74	18	82	43	32	36	62	65	93	15	5	21	83	45	40
91	28	97	39	62	20	100	39	35	3	44	80	60	76	75	30	84	49	91	8
29	60	5	1	38	4	75	79	54	79	89	66	77	51	64	29	83	32	94	11
27	11	77	18	58	53	3	51	27	84	3	62	28	47	8	22	16	42	33	27
42	65	90	71	8	10	90	49	100	66	28	30	8	70	7	92	100	79	72	75
56	97	88	52	43	17	59	62	22	58	10	96	77	5	64	31	58	46	3	81
27	52	66	77	86	2	18	61	72	7	93	35	76	40	44	70	91	33	28	44
60	20	6	11	32	97	12	8	79	12	23	100	69	20	5	32	31	24	29	52
45	67	92	28	51	11	40	59	28	82	79	13	55	48	30	1	26	61	20	68
86	47	34	92	55	32	83	61	61	70	52	70	84	94	30	8	34	51	13	75
13	31	65	84	49	29	32	67	23	13	12	60	89	2	30	73	42	7	57	56
60	79	53	96	2	54	40	98	11	27	57	89	49	33	98	43	56	20	5	36
66	47	60	85	1	42	13	93	64	79	86	75	5	4	77	80	69	73	54	88
23	3	27	76	47	85	83	56	12	48	47	11	76	98	10	22	63	2	26	90
51	21	7	29	69	66	44	69	5	10	92	48	75	15	21	66	54	76	53	58
32	29	6	11	95	2	14	1	100	39	71	45	39	41	96	49	26	60	18	22
15	90	46	61	80	87	34	15	8	3	68	15	21	31	82	91	20	12	27	63
65	94	97	98	1	57	87	16	76	79	85	98	88	16	23	47	46	99	26	10
88	3	35	14	51	25	52	46	47	51	88	47	9	99	39	48	45	60	48	34
7	68	65	29	16	64	3	65	68	24	57	69	31	41	20	67	59	59	51	15
8	30	65	4	3	53	57	27	7	53	47	92	25	38	85	87	31	65	60	86
67	10	51	50	76	14	26	14	94	3	47	11	77	21	91	17	17	31	17	58
90	20	78	66	28	54	98	35	4	76	85	4	11	36	88	59	52	21	10	58
11	8	85	15	38	2	70	48	38	32	14	66	2	20	1	98	75	94	48	32
