89	2	54	87	45	41	39	41	12	77	14	50	53	36	100	99	66	72	36	13
59	31	12	23	11	94	4	12	38	39	89	62	6	11	32	20	11	8	93	6
76	23	69	39	84	88	79	26	92	92	9	11	20	90	76	19	38	24	21	67
43	49	51	66	71	31	59	82	38	98	75	25	19	91	83	56	36	70	62	85
13	64	79	9	28	47	26	43	80	91	89	14	65	2	80	82	46	10	68	45
98	66	77	82	45	56	83	8	69	83	93	18	75	53	76	80	54	20	25	40
78	83	29	53	74	57	63	72	21	28	77	9	65	4	22	5	89	65	56	68
45	39	74	29	10	59	22	18	30	92	83	49	30	32	16	12	43	80	65	86
6	10	48	89	8	8	68	35	75	51	1	59	61	1	67	92	69	70	72	75
66	31	76	6	82	36	57	79	9	98	84	61	94	5	42	45	12	64	87	32
50	25	84	5	17	76	47	54	43	13	53	96	8	88	39	98	83	60	77	10
80	88	9	97	73	54	91	31	93	8	13	78	88	42	78	40	97	20	72	15
24	11	64	44	28	25	62	75	92	14	58	65	2	60	72	3	26	5	64	46
40	40	1	100	98	55	13	3	18	21	21	45	47	25	74	97	47	92	6	86
40	67	12	50	69	48	25	72	14	19	66	58	70	41	27	69	33	44	9	23
77	15	52	30	23	32	6	61	94	70	15	90	64	74	32	27	98	12	78	67
39	25	28	68	54	75	79	31	38	72	15	1	5	19	80	6	9	43	45	29
96	78	89	16	2	83	21	75	47	32	14	73	29	77	58	83	99	99	41	54
19	10	16	68	39	28	56	62	95	59	84	16	10	24	33	63	58	81	65	81
99	25	88	45	82	58	63	74	77	75	13	36	1	20	53	39	100	60	54	47
34	75	13	12	38	78	87	58	27	74	56	100	86	96	34	17	52	82	30	84
20	4	90	87	8	49	36	13	86	98	16	58	63	37	6	48	54	34	17	19
51	5	47	22	4	33	24	18	11	35	75	29	59	10	76	21	1	92	31	88
48	40	1	6	56	80	100	22	21	18	82	55	65	43	59	97	26	67	13	15
69	77	7	81	84	95	5	4	5	85	74	32	5	41	72	40	81	65	33	45
25	85	15	55	50	10	31	88	93	39	21	97	69	39	58	87	18	83	98	5
35	54	56	53	59	44	2	30	83	78	43	95	73	42	52	57	74	17	44	20
48	33	62	58	63	11	43	43	48	16	72	46	36	20	81	49	89	72	9	34
92	42	71	93	56	19	97	16	12	55	4	21	37	1	88	35	87	34	33	68
71	69	19	39	49	46	71	19	36	72	75	79	71	47	49	54	59	42	47	26
